dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
10.0,2.0,-1.0,-1.0,15.0,True,76,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,41756,-1.0,leaky-relu,True,-1,-1,15.0,0.00769989169202745,0.83457845,0.01040344272261906
10.0,3.0,-1.0,-1.0,15.0,True,41,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,22412,-1.0,leaky-relu,True,-1,-1,10.0,0.00736120599322021,0.798089,0.010459767656048544
10.0,5.0,-1.0,-1.0,15.0,True,42,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,39212,-1.0,leaky-relu,True,-1,-1,10.0,0.007519987178966403,0.81598616,0.010479196557519069
-1.0,-1.0,-1.0,40.0,-1.0,False,149,-1.0,-1,15.0,0.0,3.0,5.0,0.0,-1.0,13728,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007618141593411565,0.82433814,0.010482669539909846
15.0,3.0,-1.0,-1.0,23.0,True,71,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,49868,-1.0,leaky-relu,True,-1,-1,15.0,0.007726286770775914,0.83689284,0.010518875508152252
15.0,5.0,-1.0,-1.0,23.0,True,72,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,88508,-1.0,leaky-relu,True,-1,-1,15.0,0.007685159565880895,0.83319646,0.010541750775553041
-1.0,-1.0,-1.0,40.0,-1.0,False,150,-1.0,-1,15.0,0.0,5.0,5.0,0.0,-1.0,21888,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.0076431152410805225,0.8298947,0.010548515650322941
-1.0,-1.0,-1.0,40.0,-1.0,False,119,-1.0,-1,8.0,0.0,3.0,3.0,0.0,-1.0,5399,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.00799529735619823,0.8652181,0.01055165696118567
-1.0,-1.0,-1.0,60.0,-1.0,False,108,-1.0,-1,23.0,0.0,5.0,2.0,0.0,-1.0,37292,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007720513890186946,0.8367978,0.010555491841998802
-1.0,-1.0,-1.0,40.0,-1.0,False,93,-1.0,-1,8.0,0.0,5.0,2.0,0.0,-1.0,6207,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007842753237734238,0.8507425,0.010573629696370783
