batch,output_dim,hidden_dim,num_layer,dropout,num_param,MAE,MAPE,RMSE
1-1,15,23,5,0.2,40952,0.024209273979067802,2.645895,0.030697789254843445
1-1,3,5,3,0.2,6884,0.025135667994618416,2.728788,0.03130399799646698
1-1,10,15,5,0.2,21368,0.026330184191465378,2.8075001,0.03187138085178123
1-1,1,2,3,0.2,6119,0.024844307452440262,2.694923,0.03219976177727204
1-1,10,15,5,0.1,21368,0.026269618421792984,2.7876337,0.0326067540904965
1-1,1,2,5,0.1,6323,0.025584062561392784,2.7753696,0.0326883863817607
1-1,3,5,5,0.1,7904,0.027538470923900604,2.9819226,0.03351374271026743
1-1,6,9,5,0.2,11814,0.025864319875836372,2.8192372,0.03383608176060365
1-1,3,5,5,0.2,7904,0.0269089937210083,2.929042,0.035157008295358366
1-1,1,2,5,0.2,6323,0.025091441348195076,2.755568,0.03532816161131027
1-1,1,2,2,0.1,6017,0.029435617849230766,3.1543624,0.03607206134716614
2-2,10,15,2,0.2,9128,0.007536643650382757,0.809873,0.009800528572390872
2-2,15,23,2,0.0,12800,0.007805631961673498,0.8437339,0.009993323772967397
2-2,6,9,2,0.1,7224,0.00774666341021657,0.8302811,0.010357450326754232
2-2,15,23,2,0.2,12800,0.008207918144762516,0.8864971,0.010629601395451674
2-2,10,15,2,0.0,9128,0.008555536158382893,0.9128172,0.010703747555671987
2-2,15,23,2,0.1,12800,0.008161436766386032,0.87691593,0.010760483076395665
2-2,6,9,3,0.0,8754,0.008703731000423431,0.93924886,0.010833691543147313
2-2,6,9,2,0.0,7224,0.008382238447666168,0.89849734,0.010889549631611796
2-2,15,23,3,0.0,22184,0.00878409668803215,0.9440564,0.011201147098771607
2-2,3,5,5,0.0,7904,0.008763065561652184,0.94439536,0.01123824122713969
2-2,3,5,2,0.1,6374,0.008781099691987038,0.94351965,0.01128919229816442
2-2,6,9,2,0.2,7224,0.008512469939887524,0.9202207,0.011397926676298548
