spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation
True,False,10.0,3.0,15.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,86,8068,0.0051748608238995,0.56283396,0.00676337541679,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,143,18304,0.0050938078202307,0.5553763,0.0067761453356038,0-0,,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,122,10448,0.0050966595299541,0.55601907,0.0067838484105067,0-0,,,,,,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,,,,,28,5417,0.0050133601762354,0.54601574,0.0068022489109427,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,20,9416,0.0052608046680688,0.5758994,0.0068547249311351,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
False,True,,,,,,,,,,209,9491,0.0048484541475772,0.52702683,0.0068889091836538,0-0,5.0,3.0,8.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,26,38291,0.0047914260067045,0.5258669,0.0069047864604792,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,74,39761,0.0052301324903965,0.57404023,0.0069095920213923,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,161,29504,0.0052453875541687,0.5680855,0.0069216370537309,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,156,17927,0.0052867266349494,0.56965744,0.006942035827056,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,116,17464,0.0051967157050967,0.5647822,0.0069709775118281,0-0,,,,,,,,,
False,True,,,,,,,,,,237,21851,0.0047314749099314,0.524096,0.0069718288988802,0-0,5.0,5.0,8.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu
True,True,5.0,3.0,8.0,0.0,leaky-relu,,,,,15,34163,0.0054408363066613,0.59730357,0.0069888476126736,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,45,79532,0.0052285785786807,0.5696344,0.0071347765847732,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,39,17057,0.0050615132786333,0.551014,0.0071793268891828,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,sin,,,,,3,49316,0.005050838924944401,0.5594319105148315,0.007181716229276452,0-0,15.0,2.0,23.0,0.0,sin,,,,
False,True,,,,,,,,,,242,45686,0.0049273511394858,0.54327834,0.0071947165003972,0-0,15.0,3.0,23.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu
