dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_activation,spinn_enabled_dynamical_F,solution_u_args_layers_num,dynamical_F_subnet_args_output_dim,solution_u_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_subnet_args_dropout,solution_u_args_dropout,model_id,dynamical_F_subnet_args_layers_num,solution_u_subnet_args_dropout,solution_u_args_activation,dynamical_F_args_activation,solution_u_subnet_args_layers_num,solution_u_subnet_args_output_dim,num_params,dynamical_F_args_hidden_dim,spinn_enabled_solution_u,dynamical_F_args_layers_num,mean_MAE,mean_MAPE,mean_RMSE
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,102,-1.0,0.0,-1,leaky-relu,5.0,5.0,6947,60.0,True,2.0,0.007606910696874016,0.826374185,0.010275850925516484
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,162,-1.0,0.0,-1,leaky-relu,5.0,15.0,48272,60.0,True,5.0,0.007704546985526817,0.835072825,0.010286649316120234
23.0,leaky-relu,8.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,25,2.0,0.0,-1,-1,5.0,5.0,18971,-1.0,True,-1.0,0.007518167607486183,0.8154111266666666,0.010377180203635367
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,68,3.0,0.0,-1,-1,3.0,15.0,31388,-1.0,True,-1.0,0.007679008645936801,0.8308368,0.010378146830562616
15.0,leaky-relu,8.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,22,2.0,0.0,-1,-1,5.0,5.0,11411,-1.0,True,-1.0,0.00763692171312865,0.8300554,0.01038607305229535
8.0,leaky-relu,15.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,46,2.0,0.0,-1,-1,5.0,10.0,17657,-1.0,True,-1.0,0.007872309613351967,0.8519930716666666,0.010388159702804633
8.0,sin,15.0,sin,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,5,5.0,0.0,-1,-1,5.0,10.0,25217,-1.0,True,-1.0,0.0073632279721399145,0.8016889790693918,0.010396214049189164
8.0,leaky-relu,23.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,65,3.0,0.0,-1,-1,3.0,15.0,20993,-1.0,True,-1.0,0.007556368208800716,0.816551445,0.010399452481263565
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,76,2.0,0.0,-1,-1,5.0,15.0,41756,-1.0,True,-1.0,0.007699891692027384,0.8345784533333335,0.010403442722619
15.0,leaky-relu,15.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,41,3.0,0.0,-1,-1,3.0,10.0,22412,-1.0,True,-1.0,0.007361205993220168,0.7980890183333335,0.0104597676560485
15.0,leaky-relu,15.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,42,5.0,0.0,-1,-1,3.0,10.0,39212,-1.0,True,-1.0,0.00751998717896635,0.8159861133333334,0.010479196557519034
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,149,-1.0,0.0,-1,leaky-relu,3.0,10.0,13728,40.0,True,5.0,0.007618141593411516,0.8243381033333333,0.0104826695399098
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,71,3.0,0.0,-1,-1,3.0,15.0,49868,-1.0,True,-1.0,0.0077262867707758665,0.8368928316666667,0.010518875508152217
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,72,5.0,0.0,-1,-1,3.0,15.0,88508,-1.0,True,-1.0,0.0076851595658808496,0.83319651,0.010541750775552984
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,150,-1.0,0.0,-1,leaky-relu,5.0,10.0,21888,40.0,True,5.0,0.007643115241080467,0.8298946566666667,0.010548515650322901
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,119,-1.0,0.0,-1,leaky-relu,3.0,5.0,5399,40.0,True,3.0,0.007995297356198167,0.8652180583333333,0.010551656961185632
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,108,-1.0,0.0,-1,leaky-relu,5.0,15.0,37292,60.0,True,2.0,0.007720513890186899,0.8367978016666666,0.01055549184199875
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,93,-1.0,0.0,-1,leaky-relu,5.0,5.0,6207,40.0,True,2.0,0.007842753237734184,0.8507424666666666,0.010573629696370733
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,155,-1.0,0.0,-1,leaky-relu,3.0,5.0,15479,60.0,True,5.0,0.007813974826907067,0.8452356050000001,0.0106004868215186
23.0,sin,15.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,10,2.0,0.0,-1,-1,5.0,10.0,29732,-1.0,True,-1.0,0.007745085128893455,0.8406434257825216,0.010611845631224338
15.0,leaky-relu,8.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,24,5.0,0.0,-1,-1,5.0,5.0,36611,-1.0,True,-1.0,0.007948378566652483,0.8621844850000001,0.010616986386094268
23.0,sin,23.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,3,2.0,0.0,-1,-1,5.0,15.0,49316,-1.0,True,-1.0,0.007696639125545819,0.835655560096105,0.010619863812356552
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,86,-1.0,0.0,-1,leaky-relu,3.0,10.0,8068,20.0,True,2.0,0.00761984428390855,0.8267633916666667,0.010635378591786865
-1.0,-1,15.0,sin,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,14,-1.0,0.0,-1,sin,5.0,10.0,28688,60.0,True,5.0,0.007642888308813174,0.8306609392166138,0.01063575888484763
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,90,-1.0,0.0,-1,leaky-relu,5.0,15.0,35812,20.0,True,2.0,0.007784797810018,0.8458941016666666,0.010649529648952799
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,161,-1.0,0.0,-1,leaky-relu,3.0,15.0,29504,60.0,True,5.0,0.0075477456363538505,0.81881966,0.010658177095826116
-1.0,-1,8.0,sin,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,18,-1.0,0.0,-1,sin,5.0,5.0,7847,40.0,True,3.0,0.007992226630449295,0.8655317922433218,0.010665820986937127
8.0,leaky-relu,23.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,66,5.0,0.0,-1,-1,3.0,15.0,26033,-1.0,True,-1.0,0.007490006818746483,0.811991885,0.010690533345314399
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,152,-1.0,0.0,-1,leaky-relu,3.0,15.0,22704,40.0,True,5.0,0.007511170192932033,0.8151782116666667,0.010714531756583217
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,69,5.0,0.0,-1,-1,3.0,15.0,48188,-1.0,True,-1.0,0.007725224131718233,0.8365578433333334,0.010747698793089117
8.0,sin,8.0,sin,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,8,5.0,0.0,-1,-1,5.0,5.0,14456,-1.0,True,-1.0,0.007786884515856703,0.8440083861351013,0.010757316863525773
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,125,-1.0,0.0,-1,leaky-relu,3.0,15.0,19424,40.0,True,3.0,0.007806961579869133,0.8457862516666667,0.01077423496292215
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,123,-1.0,0.0,-1,leaky-relu,5.0,10.0,18608,40.0,True,3.0,0.0077040438385058835,0.83605293,0.010774271767649982
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,117,-1.0,0.0,-1,leaky-relu,5.0,15.0,36232,20.0,True,3.0,0.00785988879700495,0.8531375533333333,0.010782073598501515
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,87,-1.0,0.0,-1,leaky-relu,5.0,10.0,16228,20.0,True,2.0,0.007917780429124784,0.8595178849999999,0.010803871151073967
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,114,-1.0,0.0,-1,leaky-relu,5.0,10.0,16648,20.0,True,3.0,0.008151362882926984,0.8830119166666667,0.010866071396368351
-1.0,-1,8.0,sin,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,13,-1.0,0.0,-1,sin,5.0,5.0,11127,40.0,True,5.0,0.0077421090099960566,0.8407835066318512,0.010867721808595845
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,143,-1.0,0.0,-1,leaky-relu,3.0,15.0,18304,20.0,True,5.0,0.007900093294059184,0.8556761,0.010898235069619967
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,95,-1.0,0.0,-1,leaky-relu,3.0,10.0,8808,40.0,True,2.0,0.008068666327744682,0.8703479500000001,0.010905378788339517
8.0,leaky-relu,15.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,38,3.0,0.0,-1,-1,3.0,10.0,12017,-1.0,True,-1.0,0.007992033148184351,0.8658286683333333,0.010914571295615983
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,128,-1.0,0.0,-1,leaky-relu,3.0,5.0,8159,60.0,True,3.0,0.008116343369086534,0.8761837683333332,0.010923934283944966
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,111,-1.0,0.0,-1,leaky-relu,5.0,5.0,5887,20.0,True,3.0,0.008067723286027667,0.8724053416666667,0.010943900172580817
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,144,-1.0,0.0,-1,leaky-relu,5.0,15.0,37072,20.0,True,5.0,0.008008923303956717,0.87008405,0.010947645127904916
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,131,-1.0,0.0,-1,leaky-relu,3.0,10.0,13208,60.0,True,3.0,0.0078195037009815,0.84867303,0.010947982930595216
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,70,2.0,0.0,-1,-1,3.0,15.0,30548,-1.0,True,-1.0,0.00801446071515475,0.8665986166666667,0.010963229176037951
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,104,-1.0,0.0,-1,leaky-relu,3.0,10.0,9548,60.0,True,2.0,0.007909980059290883,0.85915505,0.010973210598251732
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,110,-1.0,0.0,-1,leaky-relu,3.0,5.0,3439,20.0,True,3.0,0.007881214066098083,0.8530273933333333,0.011050338104274417
-1.0,-1,23.0,sin,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,16,-1.0,0.0,-1,sin,5.0,15.0,38192,40.0,True,3.0,0.007898891267056266,0.8595243096351624,0.011054845648545133
8.0,leaky-relu,23.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,74,3.0,0.0,-1,-1,5.0,15.0,39761,-1.0,True,-1.0,0.008207075608273284,0.8903751883333334,0.011065346101338283
15.0,leaky-relu,8.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,14,3.0,0.0,-1,-1,3.0,5.0,17363,-1.0,True,-1.0,0.008059695518265117,0.8743278533333333,0.011079683871254098
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,138,-1.0,0.0,-1,leaky-relu,5.0,5.0,6727,20.0,True,5.0,0.00817437539808445,0.8866486783333333,0.011083521328575333
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,89,-1.0,0.0,-1,leaky-relu,3.0,15.0,17044,20.0,True,2.0,0.008227102225646316,0.8895158166666667,0.0110876714954004
8.0,leaky-relu,8.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,19,2.0,0.0,-1,-1,5.0,5.0,6896,-1.0,True,-1.0,0.007939845401172783,0.86422148,0.01108836279527795
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,116,-1.0,0.0,-1,leaky-relu,3.0,15.0,17464,20.0,True,3.0,0.008006023320679801,0.8661893233333333,0.011096258404183433
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,107,-1.0,0.0,-1,leaky-relu,3.0,15.0,18524,60.0,True,2.0,0.008013878483325182,0.86953266,0.011156000382057782
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,158,-1.0,0.0,-1,leaky-relu,3.0,10.0,20528,60.0,True,5.0,0.008091229634980301,0.8759040233333334,0.011184439932253617
8.0,sin,8.0,sin,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,19,3.0,0.0,-1,-1,5.0,5.0,9416,-1.0,True,-1.0,0.008385247318074107,0.9094281593958536,0.011232729679655854
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,67,2.0,0.0,-1,-1,3.0,15.0,22988,-1.0,True,-1.0,0.008095302696650167,0.8780339666666667,0.011237124846530217
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,157,-1.0,0.0,-1,leaky-relu,2.0,10.0,16448,60.0,True,5.0,0.007828486384823884,0.848620725,0.011253736768074967
8.0,leaky-relu,15.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,39,5.0,0.0,-1,-1,3.0,10.0,17057,-1.0,True,-1.0,0.008001154599090383,0.8667094833333334,0.011269127223605666
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,112,-1.0,0.0,-1,leaky-relu,2.0,10.0,4408,20.0,True,3.0,0.007978262534985901,0.86650904,0.011329830060086551
8.0,leaky-relu,-1.0,-1,True,5.0,5.0,60.0,-1.0,0.0,0.0,237,5.0,-1.0,leaky-relu,-1,-1.0,-1.0,21851,-1.0,False,-1.0,0.008119741532330685,0.8839900333333334,0.011358123961471999
23.0,leaky-relu,8.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,18,5.0,0.0,-1,-1,3.0,5.0,74483,-1.0,True,-1.0,0.008321373645837066,0.8998849299999999,0.011414473660655483
23.0,leaky-relu,-1.0,-1,True,5.0,15.0,60.0,-1.0,0.0,0.0,243,5.0,-1.0,leaky-relu,-1,-1.0,-1.0,84326,-1.0,False,-1.0,0.00854471504377815,0.9276444383333334,0.011415243005932116
23.0,leaky-relu,8.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,16,2.0,0.0,-1,-1,3.0,5.0,16523,-1.0,True,-1.0,0.00843731127679345,0.9145394800000001,0.0114354585728862
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,45,5.0,0.0,-1,-1,3.0,10.0,79532,-1.0,True,-1.0,0.008319018098215199,0.9011636666666667,0.011455798769048666
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,98,-1.0,0.0,-1,leaky-relu,3.0,15.0,17784,40.0,True,2.0,0.00804498302750285,0.8735983366666668,0.01146180965876295
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,113,-1.0,0.0,-1,leaky-relu,3.0,10.0,8488,20.0,True,3.0,0.0087878008683522,0.9513104866666667,0.011474072342586667
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,63,5.0,0.0,-1,-1,2.0,15.0,79124,-1.0,True,-1.0,0.008473144844174333,0.9148697416666667,0.011518578031193867
